living_mun,commute_mun,pop,year,tot_pop_living_mun
1100,1100,608839,2010,658810
1100,1202,196,2010,658810
1100,1203,7307,2010,658810
1100,1204,476,2010,658810
1100,1205,217,2010,658810
1100,1206,88,2010,658810
1100,1207,206,2010,658810
1100,1208,112,2010,658810
1100,1209,155,2010,658810
1100,1210,1426,2010,658810
1100,1211,23,2010,658810
1100,1212,51,2010,658810
1100,1213,1233,2010,658810
1100,1214,64,2010,658810
1100,1215,201,2010,658810
1100,1216,27,2010,658810
1100,1217,6056,2010,658810
1100,1218,33,2010,658810
1100,1219,18,2010,658810
1100,1220,12,2010,658810
1100,1221,61,2010,658810
1100,1222,70,2010,658810
1100,1223,13,2010,658810
1100,1224,3297,2010,658810
1100,1225,191,2010,658810
1100,1226,89,2010,658810
1100,1227,NA,2010,658810
1100,1228,42,2010,658810
1100,1229,35,2010,658810
1100,1230,71,2010,658810
1100,1231,2770,2010,658810
1100,1233,44,2010,658810
1100,1234,8261,2010,658810
1100,1235,11469,2010,658810
1100,1236,37,2010,658810
1100,1303,1431,2010,658810
1100,1304,88,2010,658810
1100,1331,NA,2010,658810
1100,1332,NA,2010,658810
1100,1333,NA,2010,658810
1100,1334,NA,2010,658810
1100,1337,NA,2010,658810
1100,1345,16,2010,658810
1100,1346,12,2010,658810
1100,1347,NA,2010,658810
1100,1361,NA,2010,658810
1100,1363,NA,2010,658810
1100,1367,NA,2010,658810
1100,1370,NA,2010,658810
1100,1371,NA,2010,658810
1100,1391,NA,2010,658810
1100,1392,NA,2010,658810
1100,1393,NA,2010,658810
1100,1394,12,2010,658810
1100,1395,33,2010,658810
1100,1396,17,2010,658810
1100,1397,45,2010,658810
1100,1398,27,2010,658810
1100,1399,64,2010,658810
1100,1400,91,2010,658810
1100,1401,17,2010,658810
1100,1402,39,2010,658810
1100,1403,73,2010,658810
1100,1404,NA,2010,658810
1100,1405,NA,2010,658810
1100,1406,NA,2010,658810
1100,1407,23,2010,658810
1100,1408,144,2010,658810
1100,1409,32,2010,658810
1100,1423,330,2010,658810
1100,1424,28,2010,658810
1100,1425,NA,2010,658810
1100,1427,81,2010,658810
1100,1428,323,2010,658810
1100,1429,177,2010,658810
1100,1430,77,2010,658810
1100,1431,NA,2010,658810
1100,1432,23,2010,658810
1100,1433,NA,2010,658810
1100,1436,NA,2010,658810
1100,1438,NA,2010,658810
1100,1453,NA,2010,658810
1100,1454,NA,2010,658810
1100,1455,NA,2010,658810
1100,1457,NA,2010,658810
1100,1458,NA,2010,658810
1100,1459,NA,2010,658810
1100,1460,11,2010,658810
1100,1461,NA,2010,658810
1100,1462,NA,2010,658810
1100,1463,24,2010,658810
1100,1464,NA,2010,658810
1100,1465,NA,2010,658810
1100,1468,NA,2010,658810
1100,1469,NA,2010,658810
1100,1470,NA,2010,658810
1100,1471,NA,2010,658810
1100,1472,NA,2010,658810
1100,1481,NA,2010,658810
1100,1483,NA,2010,658810
1100,1484,NA,2010,658810
1100,1486,NA,2010,658810
1100,1487,NA,2010,658810
1100,1511,NA,2010,658810
1100,1512,NA,2010,658810
1100,1514,11,2010,658810
1100,1516,NA,2010,658810
1100,1517,NA,2010,658810
1100,1518,NA,2010,658810
1100,1519,NA,2010,658810
1100,1520,NA,2010,658810
1100,1543,NA,2010,658810
1100,1544,NA,2010,658810
1100,1545,13,2010,658810
1100,1546,NA,2010,658810
1100,1550,NA,2010,658810
1100,1552,NA,2010,658810
1100,1555,NA,2010,658810
1100,1559,NA,2010,658810
1100,1560,NA,2010,658810
1100,1561,NA,2010,658810
1100,1563,NA,2010,658810
1100,1564,NA,2010,658810
1100,1571,NA,2010,658810
1100,1575,NA,2010,658810
1100,1578,24,2010,658810
1100,1581,35,2010,658810
1100,1584,47,2010,658810
1100,1585,97,2010,658810
1100,1586,24,2010,658810
1100,1601,47,2010,658810
1100,1602,16,2010,658810
1100,1604,NA,2010,658810
1100,1607,20,2010,658810
1100,1608,NA,2010,658810
1100,1609,NA,2010,658810
1100,1610,40,2010,658810
1100,1631,16,2010,658810
1100,1632,NA,2010,658810
1100,1633,NA,2010,658810
1100,1634,NA,2010,658810
1100,1635,11,2010,658810
1100,1636,NA,2010,658810
1100,1637,NA,2010,658810
1100,1639,NA,2010,658810
1100,1641,NA,2010,658810
1100,1642,NA,2010,658810
1100,1643,NA,2010,658810
1100,1644,NA,2010,658810
1100,1645,NA,2010,658810
1100,1646,NA,2010,658810
1100,1647,NA,2010,658810
1100,1648,NA,2010,658810
1100,1649,NA,2010,658810
1100,1661,NA,2010,658810
1100,1662,NA,2010,658810
1100,1663,NA,2010,658810
1100,1665,NA,2010,658810
1100,1667,NA,2010,658810
1100,1668,NA,2010,658810
1100,1691,NA,2010,658810
1100,1692,NA,2010,658810
1100,1693,NA,2010,658810
1100,1694,NA,2010,658810
1100,2201,15,2010,658810
1100,2202,NA,2010,658810
1100,2203,NA,2010,658810
1100,2206,NA,2010,658810
1100,2207,NA,2010,658810
1100,2208,NA,2010,658810
1100,2209,NA,2010,658810
1100,2367,NA,2010,658810
1100,2411,NA,2010,658810
1100,2441,NA,2010,658810
1100,3201,NA,2010,658810
1100,3209,NA,2010,658810
1100,3210,NA,2010,658810
1100,3214,NA,2010,658810
1100,3215,NA,2010,658810
1100,3305,NA,2010,658810
1100,4100,70,2010,658810
1100,4202,NA,2010,658810
1100,4203,NA,2010,658810
1100,4205,NA,2010,658810
1100,4209,NA,2010,658810
1100,4211,NA,2010,658810
1100,4212,NA,2010,658810
1100,4213,NA,2010,658810
1100,4215,NA,2010,658810
1100,4361,NA,2010,658810
1100,4424,NA,2010,658810
1100,4581,NA,2010,658810
1100,5201,NA,2010,658810
1100,5202,NA,2010,658810
1100,5204,NA,2010,658810
1100,5207,NA,2010,658810
1100,5209,NA,2010,658810
1100,5210,NA,2010,658810
1100,5212,NA,2010,658810
1100,5213,NA,2010,658810
1100,6201,NA,2010,658810
1100,6202,NA,2010,658810
1100,6203,NA,2010,658810
1100,6204,NA,2010,658810
1100,6206,NA,2010,658810
1100,6208,NA,2010,658810
1100,6401,NA,2010,658810
1100,7201,NA,2010,658810
1100,7202,NA,2010,658810
1100,7203,NA,2010,658810
1100,7209,NA,2010,658810
1100,7214,NA,2010,658810
1100,7545,NA,2010,658810
1100,8201,NA,2010,658810
1100,8202,NA,2010,658810
1100,8204,NA,2010,658810
1100,8216,NA,2010,658810
1100,8217,NA,2010,658810
1100,8220,NA,2010,658810
1100,8221,NA,2010,658810
1100,8222,NA,2010,658810
1100,8225,NA,2010,658810
1100,8227,NA,2010,658810
1100,8234,NA,2010,658810
1100,8542,NA,2010,658810
1100,8564,NA,2010,658810
1100,9201,NA,2010,658810
1100,9203,NA,2010,658810
1100,9204,NA,2010,658810
1100,9206,NA,2010,658810
1100,9208,NA,2010,658810
1100,9210,NA,2010,658810
1100,9213,NA,2010,658810
1100,9216,NA,2010,658810
1100,10201,NA,2010,658810
1100,10202,NA,2010,658810
1100,10204,NA,2010,658810
1100,10205,NA,2010,658810
1100,10207,NA,2010,658810
1100,10208,NA,2010,658810
1100,10425,NA,2010,658810
1100,10522,NA,2010,658810
